,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43,sub 44,sub 45
0,-0.1,-0.11939060706429165,-3.7211805649289262,0.0541614776640284,-9.796950829795302,-0.09276925106878005,0.7568531636660971,0.6061309805938826,1.7478069233126285,0.21372075864985746,0.4484662980100967,-0.29864160543227825,-0.24371924804733458,-0.020398027630747603,0.3717932270930352,-0.05532115245445792,-0.02441297276761018,-0.19820446593256646,0.6739076202385067,-0.3791155794586209,-0.07134027698848158,0.5280064405728158,-0.22062922353540007,-0.4534293340259492,0.06862212865380402,-0.17166165529020438,-0.09413823599641717,-0.38946676807393704,-0.6042272247242947,0.18700862954871353,-0.055001775800902306,-1.4455940047836586,-0.7729866462728553,-0.6429843656429622,-0.10596260251974912,0.29056425221199417,0.6417176568726698,-0.16999731987907007,-0.0616495654759967,0.20742777412586563,-1.3777913687407919,0.4673029423340801,0.3763417727737738,0.2179892907468106,0.31499835631144285,-0.848673514033109,-0.3049144208901351
1,-0.096,-0.13042624357092275,-4.108071988059503,0.17550074337406688,-8.737846298843843,-0.06735050402422725,0.6832949803720588,0.6357495248273244,2.1359429460031376,0.23138381870409686,0.4581763633494716,-0.24510911612813885,-0.29518157055488636,-0.1141173821522046,0.39910124349331955,-0.031757760070404546,0.06236913581341005,-0.2088598545946312,0.657172376827013,-0.3370564271840007,-0.08995094244180685,0.3915499544481544,-0.2496460788833141,-0.39937194814534366,0.08224766404348313,-0.09567565045227831,-0.05470407597918507,-0.48499813460798247,-0.5230214424045081,0.16251792780595575,-0.08781242515942866,-1.486505225484444,-0.753715388345316,-0.5084437970744172,-0.1649386150876906,0.25189095101491626,0.7216372173918348,-0.12739952418297423,-0.05678171771940675,0.17236324803624475,-1.0190625474833057,0.3640673400003239,0.4392680250214451,0.21171180592065897,0.4096604778836199,-0.7585817386221896,-0.2573305235096741
2,-0.092,-0.12819919008331235,-4.5027951076367625,0.2790480122825506,-7.610869533970367,-0.04686420582641168,0.5842438919312539,0.6519087612662787,2.4549157448582553,0.2297905063833596,0.45947464768151086,-0.1949576790781993,-0.337792488711311,-0.20449722391449252,0.4305271039107775,-0.008958871876055574,0.14905100555595568,-0.21088091175856033,0.6177865225654009,-0.28490605756417103,-0.11715377809160292,0.2430082557417885,-0.265794557548354,-0.3286501549917967,0.08274258052862764,-0.024018777932381677,-0.02900648173540756,-0.5659941608966218,-0.4350082067923873,0.14228196415042388,-0.11081433255781134,-1.4151318531900208,-0.7080716028996679,-0.3174013360554787,-0.22947533937152303,0.19507288295934724,0.7825090121365481,-0.07934995979912483,-0.06528345013716493,0.1357407994691697,-0.6254363877977491,0.25299601758502643,0.47905991309933593,0.19996713941811925,0.49666364713293093,-0.6638458710687196,-0.20995671284107828
3,-0.088,-0.11266489694824527,-4.86451904986706,0.35982681373577224,-6.422878058126004,-0.03065591556373216,0.4607360890654573,0.6542860092267453,2.6831668090235063,0.20651683325845066,0.45147707088561795,-0.1502047313201177,-0.3699901790922015,-0.2864954982799801,0.46102431994365833,0.01034740049282462,0.22978705565446103,-0.2024945191740971,0.5578114666955106,-0.22760862514219488,-0.1495151999392616,0.08738211968031012,-0.26901556807560495,-0.24490226120084616,0.07255504654470081,0.0401690204598371,-0.016478503923194242,-0.6292137183929887,-0.3457554808652252,0.12584510858891673,-0.12205875801757987,-1.2391270314508989,-0.6364301373153686,-0.08455561334111605,-0.29514621037763183,0.11840270213610835,0.8194888617526629,-0.029123304927156625,-0.0836403036729005,0.09749356211888538,-0.22187457886488182,0.13823063902220334,0.49620978784237474,0.18353395999786645,0.5658609399219408,-0.5667544356518168,-0.162495003469585
4,-0.084,-0.08486970270303529,-5.155053846051182,0.4145271241527192,-5.189162427001633,-0.017552089194175096,0.31730481312634357,0.6426898746280116,2.8058674443202896,0.16109786109469756,0.43298458865393774,-0.11214354808023609,-0.3901278639146024,-0.35505683874563243,0.48507254244131776,0.024213304839562307,0.2993039650163826,-0.18266990668371566,0.48036815976660696,-0.1697725682336826,-0.1828026830961058,-0.06968684244082586,-0.26014963794062,-0.15264004579820556,0.05488898677639087,0.09421546867811788,-0.015728660483247923,-0.6713558142322635,-0.2605811200969262,0.11267677530853207,-0.12050474545552954,-0.9732938262368106,-0.5409139009489242,0.172209760890248,-0.3569642999927704,0.022324814121379856,0.8287344085667654,0.020014861759833916,-0.10745777704120284,0.057843626794419824,0.16672160606596878,0.024342246909364054,0.4938734931578698,0.16368101057634724,0.6083692019986343,-0.46959998584886997,-0.11551178175250619
5,-0.08,-0.04673656078095962,-5.335155600317291,0.44162358435177806,-3.933595549945646,-0.006061653050131896,0.15967058145553933,0.6170930955208549,2.817683041489879,0.0956087920231892,0.403128141016936,-0.08131563171797339,-0.3965665827624421,-0.4055675240177537,0.49778380363853686,0.03168427590817463,0.3530651200395174,-0.15123060566905253,0.3893329719342744,-0.1154469942172821,-0.2117959012622784,-0.22209471774625553,-0.2407234580924679,-0.05681132627373914,0.03339913844183379,0.1362588815360513,-0.024624327784480732,-0.6894044744696827,-0.1841387951143481,0.10209632028223749,-0.10629617605682319,-0.6386586792701765,-0.42520364737904703,0.43320638343758305,-0.4098080526534658,-0.0903299215944478,0.8078405591252886,0.0647011539629961,-0.1319188644138629,0.017754771881869576,0.5212632196813238,-0.08406706484921175,0.47612966388080197,0.14185340767547133,0.6173483928086176,-0.3744224153207354,-0.07030530430146141
6,-0.076,-0.0009469360348115137,-5.36486865752007,0.44172565938847524,-2.6863894610084706,0.005406600322751775,-0.00545113093184628,0.5773137021771996,2.7225988136427985,0.014314411925038517,0.3619585781418596,-0.05740792538433404,-0.3879232133129811,-0.43430121141023836,0.49531967422710355,0.033009575783150905,0.3879798448022364,-0.10914197387616295,0.2889624780724183,-0.06768187350511841,-0.2314498097674847,-0.3634563506189129,-0.21267289900054356,0.03749259890591215,0.01177053891918074,0.1655415098503707,-0.040265005956841946,-0.6806895809902265,-0.11988200627134468,0.09316532117173153,-0.08052642872301359,-0.2607785795876402,-0.2942951565498789,0.6782754745347731,-0.44897724417059853,-0.21449364579631378,0.7559937241280268,0.10201647722403477,-0.1522924423305909,-0.02135169981145823,0.8269493639339833,-0.18234623965139718,0.44548992700088264,0.1196577987352084,0.588663144667047,-0.28292326394495054,-0.02867474155866615
7,-0.072,0.04922548110264891,-5.212657280094847,0.4177120826065482,-1.4780781483895877,0.01818875019636392,-0.17074461891964274,0.5231618127509221,2.5312280023557974,-0.07747387570352395,0.31070825312517547,-0.039542234597462596,-0.36325615915550635,-0.43873687731154026,0.47501266704356415,0.029094934048151243,0.4021442210613066,-0.05835341338467878,0.18370330928737363,-0.02819333891174851,-0.23761173548208434,-0.4873207131469196,-0.17811718137960514,0.12553043004908906,-0.006567917229199212,0.18209125994335648,-0.05931270478919055,-0.6435285381311636,-0.06972409629773552,0.08483552888891399,-0.04523818079159071,0.13235765597213398,-0.15406365140774586,0.8882590739779916,-0.47024910120531555,-0.3426343878052565,0.6743497151065808,0.1295069247453193,-0.1643275971341154,-0.05824893404118098,1.0691386265621383,-0.266076806236915,0.4026221733056268,0.09835195017380223,0.5212579818182106,-0.19627053738268668,0.007467795305502434
8,-0.068,0.10019759681478602,-4.8630665939991475,0.3737713141167548,-0.33913516019714157,0.033078038188182994,-0.32699543459871405,0.4544899105950807,2.258607187861666,-0.1737836652070424,0.2508162044086543,-0.0264245740584818,-0.32230540201811764,-0.4178841901757904,0.4355767140744627,0.021392548946137093,0.395195369041609,-0.0017885577127627935,0.07799804157564594,0.002309257920095955,-0.22726775723871392,-0.588125909992769,-0.13910851895645895,0.20303392251600913,-0.018747867060400245,0.18677430001380796,-0.07854608975298841,-0.5775267070476504,-0.03410477753022517,0.0759012020806596,-0.003194204183669645,0.512311184345534,-0.011234270239107688,1.0464671859396069,-0.4707335588561823,-0.4658632546645666,0.565783117106697,0.14559717773871356,-0.16485613081221068,-0.09210697787208,1.2337798250275183,-0.331796721748865,0.3489342701873691,0.07886441209067578,0.41757075112777936,-0.1152572701264545,0.03633552086202575
9,-0.064,0.1483395089651653,-4.317581277053683,0.31491525843808765,0.6980185193668806,0.050379933072730025,-0.4637465640095713,0.3714637226700007,1.9232502438996917,-0.2677251582489648,0.18381440613420247,-0.016494539201115647,-0.2657472195268949,-0.37223418247558654,0.3773230751254978,0.011591145209322624,0.36835235177532655,0.05689354325290021,-0.024090951362584264,0.024443126254035892,-0.19915948824364044,-0.660888868416402,-0.09764946779908544,0.2664525211346199,-0.022922433333386456,0.18099325674037145,-0.09480027374332271,-0.4837815778264274,-0.011675438452007515,0.06541557414418672,0.042207069166820876,0.8521152615964042,0.1273277567179854,1.140042299793823,-0.44878631052456486,-0.5743079345465925,0.43482008944262135,0.14937403877334937,-0.15203778816323427,-0.12187564904963961,1.313213052510886,-0.3766905289048724,0.2875166527246657,0.06190280502654444,0.28344772663859547,-0.04013406146602386,0.056737768062221396
