,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43,sub 44,sub 45
0,-0.1,-0.05366505971467222,-0.31528827585801206,0.5396225015469988,0.32181217411782964,0.09453324951527889,-0.04597067401678718,-0.08588495914100457,-0.08114303736969979,0.27977766182645925,-0.14209306293172905,0.0034381823809746383,0.2768492876027443,-0.1334969247565942,-0.19288795300381076,0.06829691097928546,0.04766122299181321,-0.47504366911334167,-0.06841865863377096,0.05949902244125548,0.2006963509049057,-0.11184166092915154,0.2760428062436612,-0.09243588636771191,-0.053903220588267,0.06704331505074898,0.20210137582339738,-0.06811942378500895,-0.0027131839168636224,0.1062596770538988,0.45612774807958434,0.5422635782874466,0.28671077619216995,0.7329877598148163,0.01367304303080649,-0.5422069830675661,-0.009134666816341263,0.09655036837648778,-0.03580145083033159,0.2945566194172197,0.37879133784096625,0.02812498316921602,-0.18091980712007824,-0.08059403561841236,-0.5612591876915045,-0.05693970122824368,0.0740792057935765
1,-0.096,-0.052945994456919436,-0.2924533904229345,0.5284008989777567,0.25669988817544676,0.06301879021772794,-0.034962119336224826,-0.11099153091399327,0.03167281718167634,0.2820023622998421,-0.12245706374398518,-0.003299091113292201,0.24521187316482995,-0.14885450703793096,-0.16500368110660768,0.052428309303657904,0.05661561339101555,-0.4772531027792722,-0.07141510559895833,0.03563269175016232,0.18231941525246745,-0.10484397101431887,0.25346020663744584,-0.08316819000127681,-0.05420554596712654,0.054015753435506166,0.16347128479303866,-0.031099837547769786,-0.017262043810662042,0.09940287817916846,0.44249725814909024,0.5683814286545547,0.21359375923560803,0.7227294659120751,0.006405057679725856,-0.5227361755041098,-0.04469145682690878,0.08857941318093168,-0.03792068238011256,0.2776348713696288,0.3677664140617945,0.014743524575624332,-0.17106343229272364,-0.07971255686965835,-0.5469545553972919,-0.048530096790652684,0.08077411935060587
2,-0.092,-0.04786050333086042,-0.2579302421952191,0.5095940898149964,0.19106068052855718,0.02741526381066892,-0.024077945131419375,-0.13177506030028302,0.136633848448794,0.2800652862749954,-0.10088370823107697,-0.009471465082878206,0.21711391641724773,-0.15784792957984875,-0.1289430935591699,0.036526120822593766,0.0640337435776079,-0.4768059184403282,-0.06858565867392477,0.01104140670907841,0.15749201969098492,-0.09536063534448003,0.232946881257912,-0.07173640693766127,-0.057507937502272975,0.037437868003442606,0.12468181817044591,0.0039177743003307956,-0.0313625813062649,0.07182120465100615,0.4209850517187902,0.5498409278768223,0.15236698199868573,0.6726990685978121,-0.0007982081262323359,-0.49650719804251087,-0.07629855630496402,0.0835382164281415,-0.03928517307980231,0.26521206881931064,0.35073186678315293,0.0010975161626783179,-0.15720507696621266,-0.0767498987867104,-0.5258902820882876,-0.042159841049746766,0.07962377859991672
3,-0.088,-0.03876213407026815,-0.2143132060664579,0.4825489647153483,0.12748662838817232,-0.00979660839789012,-0.01333356139295206,-0.14685188397404217,0.23088607522159096,0.2738872853912336,-0.07775752467109806,-0.014804034313429944,0.19214772942359734,-0.15979642764254445,-0.08685439919580872,0.022097972510015673,0.06923266557525476,-0.47211311820554724,-0.05977894063156549,-0.012672190781235304,0.12763076687651537,-0.0837262514620125,0.21408896009343845,-0.05838728231984527,-0.0634139833578803,0.019206307802731346,0.08667980853316985,0.0347359346833581,-0.043523188922297514,0.02581964125422078,0.3911498921521585,0.48833984681936066,0.10392657707730159,0.5873874850296287,-0.007071129260893345,-0.46352140689525406,-0.10343224602201502,0.08149590364871609,-0.0399518956405968,0.2561123636634664,0.324305640620868,-0.012252085552550852,-0.14035120459962155,-0.07136295024359303,-0.4981865485288257,-0.038109743470338665,0.07024694455686051
4,-0.084,-0.026373523610538678,-0.1646580560366233,0.4469429254665277,0.06874582951852179,-0.04584226859578076,-0.002283996342583987,-0.15514726677460766,0.3119097207732784,0.26346540265594637,-0.05361235533285964,-0.01905348566890626,0.16971355593472984,-0.1544329724372592,-0.041403906701188826,0.01026682937521837,0.07161954224866021,-0.46176229042865935,-0.045357453030224704,-0.03395508513296226,0.09447510423876157,-0.07038344089575549,0.19646083180529697,-0.04347479823473797,-0.07113906953758783,0.0013219822275082026,0.05036049727526921,0.059533017000876036,-0.052404729598789716,-0.03481274862783346,0.3528911454641991,0.38854090228605315,0.06820241621820206,0.47328330172125316,-0.011656962440330876,-0.4240239618404803,-0.1255652177067132,0.08214427720688053,-0.03986444355517062,0.24895252518898175,0.28693292470885234,-0.02462985849504829,-0.11910630932033887,-0.0634197379334321,-0.4640707648105586,-0.03648233096868264,0.05291382298394956
5,-0.08,-0.011670881323637267,-0.11240026242221582,0.4029072513138585,0.01748054542051966,-0.07794868899979537,0.008427857377837595,-0.15596490671035015,0.37740166083782206,0.24829616250667416,-0.029025615899752992,-0.022011488598864114,0.14906243764811897,-0.14193466590563222,0.004539451650234366,0.0020821119282591234,0.07080745812893903,-0.4444782429007761,-0.026354482049416157,-0.051367827348732915,0.06006086525102345,-0.05588319256379179,0.1796299144421272,-0.02744634561201335,-0.07960538996201826,-0.014183759294789166,0.01655697683649552,0.07693478368877077,-0.056984561319971726,-0.10510835033583604,0.3067131015266666,0.25769525226005097,0.04448584463604087,0.3385238201945798,-0.01394938481008627,-0.37863297835433224,-0.14217676637664373,0.08494897034462998,-0.03892934757678036,0.24257068961587078,0.23990702062565525,-0.03527105211990545,-0.09278806727175218,-0.05302253665863779,-0.42392120477288264,-0.036996344616204734,0.028670632292625634
6,-0.076,0.004155494813493518,-0.06099044591135071,0.35116579311877927,-0.02430276826571711,-0.10360436056683922,0.017468891416516922,-0.14910097880094703,0.42539420088646857,0.22782420155559707,-0.004468638401102242,-0.02352944295574169,0.12939358246264987,-0.12288944546085026,0.04801570303934015,-0.002007173026739584,0.06666547443552727,-0.4193365802952168,-0.004182642855725342,-0.06380421059944474,0.02650297048404715,-0.040853166814974966,0.16329985693617732,-0.010833998093424405,-0.08753041236042249,-0.025644029515786336,-0.013907073017758636,0.08632327923067029,-0.05674597821875952,-0.17922654916846822,0.25355717965810287,0.10518533960062194,0.03141999252561808,0.1923214772254888,-0.013552029308808989,-0.3278595452927036,-0.15281403332816806,0.08893780170901967,-0.0370242248677184,0.23603118126911368,0.18583041010865006,-0.04342677591357002,-0.0638427247927903,-0.04047998443141877,-0.3782216929254065,-0.03945778934364624,-0.0008926415007442319
7,-0.072,0.019848206162374506,-0.013376641376986893,0.29304933704082775,-0.05555835566441275,-0.12080476895104918,0.023997024066808207,-0.13475295504336332,0.4545867979443417,0.20200403583944138,0.01981935922381357,-0.023470953020888575,0.1098204750112389,-0.09821202648044534,0.08636196943591969,-0.0022908605134785514,0.05919510519833287,-0.3858604993704972,0.019462083031707617,-0.07056133880702498,-0.004157069555908299,-0.025931447767004463,0.14714261649069274,0.0057736605306023805,-0.09357831685368354,-0.031934729919765474,-0.04043052609237241,0.08783528150378704,-0.051654380454709305,-0.2508993248154171,0.194880327102593,-0.05805647720754475,0.02717391404411087,0.044148687133830446,-0.010453888147791583,-0.27245778816990884,-0.15724152010907602,0.09311422452263864,-0.03407547375197111,0.2281648688279908,0.12711770205711972,-0.048422054420881176,-0.03623811474661777,-0.026285157964711835,-0.32752372962132503,-0.0433603301262399,-0.03366695539686333
8,-0.068,0.034153069070832924,0.028213187962699143,0.23028210143792407,-0.07595442983745182,-0.12821155703530027,0.028599924934968407,-0.1136951585231778,0.46453505716851273,0.17199745840796096,0.043446584146169795,-0.021777372398755736,0.08961214064369584,-0.0691273844093439,0.11727456561213587,0.0007221357073610483,0.04860944187558493,-0.3439177094224923,0.042785010149746096,-0.0713588249226016,-0.030150536611806625,-0.01175048896033736,0.13083833617130072,0.021686913026982287,-0.09648796063614712,-0.03250942660655908,-0.06259301041577778,0.08203258285976994,-0.04202067101242396,-0.3138715580234058,0.13244617784573476,-0.2203123820335955,0.029476813368008194,-0.09671541547084267,-0.004866043431899933,-0.21349721936562568,-0.15538620270736864,0.09642626237203118,-0.030074227006724533,0.21751255817186121,0.06583762133312442,-0.049789449184449226,-0.012084490750241985,-0.01105065368968886,-0.2724639482736316,-0.04810019151493434,-0.06708606554680809
9,-0.064,0.045876074743170396,0.06230078128244625,0.1646961339019363,-0.08558670721427705,-0.12534481514624288,0.03208071210212013,-0.08704193926259975,0.45545845189793865,0.13910133554372467,0.06581944454153951,-0.018521024138515918,0.06825224903082489,-0.03721257241452374,0.13910499297383186,0.006199861399823858,0.0354498443971234,-0.2937357220158039,0.06402764694684786,-0.06630436252226,-0.05014836160682418,0.0011168356134232764,0.11402969972526308,0.03624580629113656,-0.09522227602397469,-0.02739300415843116,-0.08014922643087427,0.070206001693247,-0.028580903700468306,-0.36249998685958384,0.06844799282470636,-0.3702028288848692,0.03570550298500477,-0.2218807509409166,0.002692905481490043,-0.15218884636163788,-0.1473954587353805,0.09779311043284832,-0.025181388526865252,0.20272018016027743,0.005010638497422841,-0.04720786843192478,0.009445105395206143,0.004480010234245483,-0.2137549301701927,-0.05295276976480201,-0.09839025782728716
