,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
fruit,3,13,30,31,43,63,64,121,135,149,263,281,316,375,430,581,702,703.0,704.0,839.0,876.0,914.0,930.0,951.0,966.0,976.0,994.0,1037.0,1078.0,1079.0,1111.0,1129.0,1131.0,1133.0,1135.0,1182.0,1188.0,1203.0,1219.0,1244.0,1280.0,1284.0,1540.0,1570.0,1672.0,1778.0,1793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
furniture,16,85,103,108,110,120,167,222,233,300,320,370,381,422,424,441,466,480.0,516.0,519.0,585.0,633.0,742.0,777.0,908.0,947.0,985.0,1059.0,1086.0,1251.0,1268.0,1269.0,1294.0,1321.0,1492.0,1548.0,1561.0,1608.0,1652.0,1835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home decor,252,253,254,295,368,370,465,498,595,639,893,1005,1176,1235,1625,1644,1753,1777.0,1839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insect,24,111,112,115,212,229,286,373,376,514,541,621,622,706,888,929,955,1020.0,1021.0,1023.0,1238.0,1384.0,1513.0,1656.0,1785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kitchen appliance,138,224,380,382,399,491,627,640,806,856,868,1000,1009,1089,1300,1463,1564,1666.0,1667.0,1771.0,1789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kitchen tool,171,251,354,411,467,548,649,708,716,822,855,868,879,887,986,1067,1138,1151.0,1328.0,1381.0,1443.0,1451.0,1508.0,1566.0,1661.0,1674.0,1811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medical equipment,66,109,186,258,452,477,565,599,664,728,828,1195,1466,1550,1572,1604,1773,1808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musical instrument,2,20,56,68,86,116,162,292,328,350,468,522,620,642,692,723,753,755.0,797.0,864.0,870.0,965.0,1082.0,1165.0,1297.0,1368.0,1619.0,1710.0,1716.0,1721.0,1723.0,1735.0,1742.0,1764.0,1843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
office supply,126,355,410,558,559,584,625,778,829,919,1064,1065,1112,1116,1117,1143,1146,1255.0,1337.0,1379.0,1537.0,1539.0,1611.0,1622.0,1654.0,1813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
part of car,7,191,219,268,269,475,557,562,587,661,668,715,745,765,767,809,921,1071.0,1293.0,1312.0,1506.0,1512.0,1546.0,1586.0,1617.0,1806.0,1820.0,1821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,14,31,62,74,164,192,227,235,366,414,470,472,577,619,704,705,773,834.0,904.0,906.0,974.0,1013.0,1022.0,1040.0,1081.0,1102.0,1158.0,1180.0,1181.0,1183.0,1209.0,1224.0,1331.0,1334.0,1400.0,1401.0,1547.0,1576.0,1584.0,1644.0,1650.0,1708.0,1709.0,1726.0,1727.0,1740.0,1802.0,1833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports equipment,49,58,72,78,79,80,83,84,88,94,95,155,179,183,221,353,474,530.0,561.0,570.0,602.0,603.0,605.0,615.0,629.0,630.0,643.0,683.0,690.0,783.0,787.0,823.0,841.0,858.0,1032.0,1057.0,1184.0,1222.0,1245.0,1256.0,1270.0,1326.0,1327.0,1343.0,1383.0,1449.0,1452.0,1453.0,1455.0,1460.0,1478.0,1481.0,1488.0,1522.0,1587.0,1612.0,1627.0,1642.0,1701.0,1706.0,1767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tool,1,28,45,47,50,101,145,148,171,203,205,221,246,248,251,296,298,299.0,302.0,336.0,354.0,356.0,357.0,384.0,389.0,392.0,401.0,402.0,411.0,432.0,447.0,456.0,463.0,467.0,520.0,528.0,534.0,535.0,548.0,566.0,583.0,586.0,613.0,623.0,637.0,649.0,708.0,716.0,731.0,734.0,735.0,741.0,748.0,759.0,778.0,784.0,794.0,800.0,822.0,830.0,835.0,837.0,855.0,868.0,879.0,886.0,887.0,919.0,928.0,956.0,957.0,962.0,970.0,986.0,999.0,1012.0,1019.0,1047.0,1062.0,1067.0,1138.0,1141.0,1142.0,1144.0,1151.0,1159.0,1166.0,1191.0,1201.0,1204.0,1207.0,1210.0,1215.0,1217.0,1241.0,1250.0,1252.0,1263.0,1271.0,1281.0,1286.0,1290.0,1324.0,1328.0,1332.0,1341.0,1356.0,1366.0,1367.0,1371.0,1379.0,1381.0,1387.0,1390.0,1391.0,1403.0,1412.0,1425.0,1432.0,1441.0,1443.0,1451.0,1461.0,1494.0,1508.0,1527.0,1538.0,1548.0,1566.0,1594.0,1623.0,1640.0,1645.0,1661.0,1674.0,1677.0,1705.0,1712.0,1714.0,1719.0,1728.0,1739.0,1750.0,1765.0,1780.0,1792.0,1798.0,1801.0,1811.0,1817.0,1829.0,1841.0,,,,,,,,,,,,,,,,,,,,,,,,
toy,48,59,99,153,168,271,311,317,318,473,486,499,500,503,517,643,731,782.0,796.0,810.0,851.0,852.0,861.0,874.0,913.0,972.0,1178.0,1185.0,1199.0,1208.0,1257.0,1287.0,1318.0,1322.0,1382.0,1385.0,1439.0,1465.0,1530.0,1555.0,1635.0,1657.0,1700.0,1711.0,1774.0,1814.0,1847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable,39,40,42,114,117,156,201,206,232,277,288,291,337,412,457,550,658,696.0,712.0,838.0,860.0,910.0,920.0,1074.0,1077.0,1128.0,1150.0,1231.0,1253.0,1274.0,1307.0,1372.0,1515.0,1524.0,1526.0,1595.0,1672.0,1853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vehicle,8,9,10,19,21,123,139,154,213,226,249,262,267,276,278,309,450,488.0,580.0,596.0,656.0,682.0,689.0,691.0,771.0,775.0,801.0,808.0,813.0,843.0,847.0,848.0,863.0,921.0,931.0,981.0,1003.0,1025.0,1068.0,1071.0,1094.0,1214.0,1260.0,1275.0,1310.0,1316.0,1339.0,1346.0,1347.0,1378.0,1382.0,1398.0,1421.0,1460.0,1483.0,1484.0,1511.0,1542.0,1545.0,1578.0,1586.0,1620.0,1630.0,1698.0,1699.0,1715.0,1720.0,1725.0,1746.0,1752.0,1772.0,1844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weapon,38,93,98,147,160,168,175,193,216,260,261,285,444,469,607,713,727,786.0,894.0,953.0,954.0,1006.0,1304.0,1311.0,1417.0,1467.0,1510.0,1602.0,1684.0,1712.0,1809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
