,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43
0,-0.1,0.038244193183510425,0.2092685718201026,-0.15230778521959815,-0.17923825144670594,0.18676232376156904,0.2696791934275585,-0.0687981942084903,0.1955702220058059,-0.02194067122011606,-0.02196047589684496,-0.025370386639499032,-0.027590543832307954,-0.11428745614975087,-0.7367041803807453,-0.03525073456145406,-0.2132793671135616,-0.010843577998617508,0.3688435932240775,0.14083147999555776,-0.3552642359726013,0.15226214586289902,0.1323280976753283,-0.10495948730759101,-0.051540180005174616,0.03521093352235426,-0.08099984581439243,0.100403300196982,0.05541841741573525,0.39053006701209775,-1.0499632637205971,0.4218375131862445,0.20412201447605058,0.02439893408831013,0.045865155071802215,-0.14367756899380169,-0.09032485575953957,-0.10278678769829346,-0.64674829148884,-0.4594807525300268,0.013542403293479386,0.08677467340406438,-0.13595805617126677,-0.025303820809193474,-0.2106670561559458
1,-0.096,0.002838538566533755,0.1353611116589516,-0.14074058430217243,-0.14799943849985986,0.18062919547033576,0.2622211868715343,-0.018250435138660204,0.1537442640746675,-0.014388393323132121,-0.010828249691580185,-0.017442808553687773,-0.0192864194928989,-0.09917041420897811,-0.6067759176011059,-0.036405480159526264,-0.17835731218607453,-0.03842868165070815,0.3225102689074371,0.13305832338727375,-0.3092245673050756,0.12546375171129173,0.10207476544500202,-0.09938381525498978,-0.03303888523916199,0.040646712445102116,-0.06544941575199047,0.10764527527586464,0.054375963930980584,0.4447413054322192,-1.012817425865491,0.4488554059831734,0.18329815864731577,0.010429443220056253,0.03363663000694507,-0.12243440607972453,-0.09989263205526028,-0.11626481577407323,-0.5820350295015079,-0.4272595822367957,0.001885025419582425,0.07994636666169605,-0.12556793914547376,-0.03394186101871161,-0.22974355412482544
2,-0.092,-0.02797975682535411,0.056432595209043285,-0.12902436958346802,-0.11649973586482472,0.17260847843329052,0.24721693940352535,0.033177806193624634,0.1084367084567485,-0.004432658513889867,-0.002635574885521224,-0.006787781494765703,-0.015293944197784827,-0.0844461488086526,-0.48176985873851863,-0.034404078123403285,-0.1422610678003706,-0.059038519005513206,0.2774177441702206,0.12545297336932568,-0.25837117970330115,0.09779162856438642,0.06945906457102731,-0.095563516944329,-0.013771330566062593,0.053874499968059396,-0.04864674854124294,0.11371940613658597,0.0534022758339034,0.4743131074696279,-0.9615833274655268,0.43428216172746203,0.17172126970943238,-0.02360742528421289,0.02820685743373781,-0.09725023153776308,-0.10419975308370524,-0.12835557443263318,-0.51557236462457,-0.39381886727017995,-0.010545067544316826,0.06991014860075323,-0.11699011244326223,-0.04136114240700895,-0.2383837202277382
3,-0.088,-0.0526559099013819,-0.02365380028756858,-0.11710697160960147,-0.08556402889943379,0.16275658452654618,0.2258896579770087,0.0810817642053496,0.06232795737632894,0.007579556039057678,0.0021865639102279346,0.005958866519525019,-0.015772007899458,-0.06941230602201147,-0.3665698125858183,-0.029503669928417,-0.10713698351246659,-0.07261530427115895,0.23538159126496633,0.11733845004046695,-0.20417137306631442,0.07074711332215748,0.035891301461376916,-0.09347482214596564,0.005712577588340529,0.07280117915613882,-0.031066589266080354,0.1184256375052981,0.05221356262875491,0.4780280978330458,-0.8962329027521865,0.3791624511240278,0.16815040820778682,-0.07383056344759174,0.028803823406195472,-0.06912144456884275,-0.10287006886904707,-0.13793779383493512,-0.4486371261868939,-0.3595237744257384,-0.02338956695832856,0.05691832050734592,-0.10897767132624302,-0.046352208079177795,-0.23509064853889416
4,-0.084,-0.0702295981839958,-0.10084783255655988,-0.10506207970139954,-0.055680068585082634,0.1511576169599256,0.19990702250856318,0.12129394484788002,0.01835149217736392,0.021321934213750945,0.0034001424104998634,0.019952927101041202,-0.020488499482275532,-0.05483576944127961,-0.26495294563059846,-0.02221890792909794,-0.07520464389003507,-0.07949323749463255,0.19794010957339764,0.1082292543763795,-0.14839231428397176,0.04568207591132128,0.0027822942701419065,-0.09284030340738199,0.0247128431618194,0.09490663884440739,-0.013241591474159174,0.1215211738632722,0.05057966520380325,0.45620948482139745,-0.8172655207537146,0.287506587920126,0.17084799194299874,-0.13514844446037527,0.03416516728779177,-0.03975093615109114,-0.09588533207054659,-0.1440031377884089,-0.38229782551730834,-0.32462481141566624,-0.03611371184588006,0.04144750114709997,-0.10033006688590489,-0.04812748788942222,-0.21935497139470453
5,-0.08,-0.0800966703481555,-0.17142981379659394,-0.09304013768752159,-0.027495547263288622,0.13790096705171037,0.17043758092837488,0.15033862530991388,-0.02080725321825155,0.035573442294983985,0.0010167829294542297,0.03423527501766906,-0.028798893585031224,-0.04271139241907132,-0.18104609571066213,-0.013274267976730649,-0.04810165244978847,-0.08032373335208227,0.16621861552339245,0.09784567995623258,-0.09293852503692206,0.023751905883369593,-0.028478299201617437,-0.09332013399077811,0.042408147430465004,0.11730182211082597,0.004331819199913362,0.12277433289117472,0.0483475406888736,0.4106387091254342,-0.7257689584139803,0.1660218848146555,0.17782486641288814,-0.2016604337870709,0.04261267200793615,-0.010946604727083625,-0.0836731509099886,-0.145862436069759,-0.317570284813917,-0.28913701232092354,-0.04808976675221441,0.024220420381485655,-0.08994420942490901,-0.04571831370261693,-0.1916675210467344
6,-0.076,-0.08232539528357896,-0.23202092007007988,-0.08118388835270156,-0.0014470527494060542,0.12304821878598154,0.13859524896574055,0.16576645300403114,-0.05295973366533162,0.04878318045489895,-0.0046113152385962395,0.04780677038406107,-0.039660548053876615,-0.03411611366899825,-0.11659865374263123,-0.0035199258175759203,-0.02693881417185042,-0.07601682058323576,0.14066924748393383,0.08601837663320323,-0.03976392919309089,0.005782258802096022,-0.05662993952493894,-0.09423986149599764,0.05793965523391055,0.1368536152576947,0.021254655328390992,0.12189790777113832,0.04539426284417903,0.34443615215130496,-0.6235113103103259,0.023576121039031738,0.18661896161179123,-0.2670535828933936,0.052180257094127096,0.015639105465114156,-0.06705914716048227,-0.14306818608377245,-0.25511251320130435,-0.25300515799350665,-0.05861670477727821,0.00612660109639847,-0.07699352124598435,-0.03882920263614887,-0.15350861237560862
7,-0.072,-0.07732525965545829,-0.2795079221511541,-0.06954114498375608,0.022177625857112273,0.10664720128018639,0.10562317815525085,0.16635773166965498,-0.07637403764485472,0.059650954312602075,-0.012724430486334258,0.05968561897558067,-0.0517866402637032,-0.028072790352299478,-0.07280231379442162,0.00612719119085657,-0.012538319148749243,-0.06768608933046119,0.12115208140691193,0.07274237676682607,0.00923995712139454,-0.007793947445711595,-0.0805228098801707,-0.09492327893454684,0.07050041099880283,0.15066559643224198,0.03707330727847232,0.11850349760972978,0.041639751957430506,0.26196389590135133,-0.5127552445093013,-0.12914949215101654,0.19463892803670357,-0.32513872597959625,0.06083372671483262,0.038380728990846415,-0.047277333612217885,-0.135516734268936,-0.19547152849105248,-0.2164735931076368,-0.06694369520698056,-0.01181291696978147,-0.060987836523431586,-0.02715486677676865,-0.10722323814451712
8,-0.068,-0.06618781216389626,-0.3113530426707003,-0.05815899356311185,0.04308186377229898,0.08873228954022874,0.07307382128113456,0.15225500313265458,-0.08965304527468582,0.06773121119620554,-0.02233841791339018,0.0689187894469905,-0.06372094672174783,-0.022988487637922224,-0.04833085651640477,0.01478442308480514,-0.0047803876479728035,-0.05652998443482986,0.1069219463394744,0.058176672487709406,0.05243672887857364,-0.016922515645327107,-0.09923389813610212,-0.09455476966132084,0.07935416673461045,0.1564029026283643,0.05127068021794019,0.11233383060624165,0.03698647863378498,0.16850815510270356,-0.3961419075930902,-0.28054336908310196,0.1994961885289218,-0.37024429323755986,0.06670148787385644,0.05557036460090833,-0.0258581150196212,-0.1232705677154931,-0.13887856953820837,-0.17995518953240439,-0.0723967746524578,-0.02850888810041581,-0.04184545754089747,-0.01111472051980218,-0.055680811498843366
9,-0.064,-0.05023325672465762,-0.3259199373867757,-0.047099839883696294,0.06135819336951152,0.0693397102284612,0.04212680959307294,0.12483626224123985,-0.09199134364068327,0.07271296290476696,-0.03236452957305627,0.07471671460349322,-0.07403391771448205,-0.018687361194676903,-0.041359156062085844,0.021665652680840773,-0.0030670203992457057,-0.043760696920476815,0.09660908866031755,0.04255580797784603,0.08843020978199176,-0.021929427784122647,-0.11209058597778321,-0.09223528430952996,0.08393527173108062,0.15250177002804696,0.06334564267771117,0.10315456381901368,0.03145011819920644,0.06992935840765462,-0.27647772547696836,-0.41914776862979375,0.19897990462945506,-0.3976689707600465,0.06825518160054145,0.06566093684106623,-0.0044508832976052366,-0.10673699687657628,-0.08551155301505371,-0.14360607476717938,-0.0743634637220144,-0.04294592424097436,-0.01988606635501354,0.008709131992108486,-0.0022701299032401876
