,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43,sub 44,sub 45
0,-0.1,-0.07990213085771376,-0.11655873118977247,-0.15092327722993112,-0.02123694222564946,0.08185392642667724,0.38677778377857536,-0.045792761165799924,0.2680083393422492,-0.089214142549024,-0.026011801460649516,-0.06439165563641623,-0.007841359616491994,-0.08010922628435067,-0.09217665939834342,0.033137096422506174,0.0891784222989071,-0.09683493834374403,-0.02335498434034939,-0.03812999917014172,-0.07022982147439184,0.061042742385087834,0.18714959681464896,0.008692099168435009,-0.034677531356529956,-0.03223822964189534,-0.06985651572051511,-0.04097648181041477,0.026483327745208264,0.4394594754115084,-0.23981734307395094,0.46662656371492045,0.04707775603752963,0.3424779347157558,-0.09087553495276515,-0.09803244061023542,0.008038308737032991,-0.07217059088949665,-0.15262927428921327,-0.12872382165678695,0.031804133933185194,0.029246943581128792,-0.16464554375597937,0.031164783724297578,0.16478994835254995,-0.0024209031855497243,-0.0605786990993009
1,-0.096,-0.08265959059795593,-0.11285068289687707,-0.13796357089340242,-0.009556398023406068,0.07313792893562016,0.3730335026853491,-0.025856238315241024,0.2363856243196555,-0.07242261079931109,-0.01808693700122012,-0.05154872556592754,-0.010026323719116301,-0.05869173337931861,-0.11502438061450519,0.05098345673244172,0.08300583645764734,-0.10194484790913148,-0.027782973471752112,-0.03096942894502801,-0.058780619440579496,0.05709435790673131,0.16598583616154422,0.012314170212964822,-0.025918698094118633,-0.029091798183358424,-0.05095294299416987,-0.04508428633196778,0.03735126925142546,0.43224418452357405,-0.2297827924165581,0.4444185342242905,0.03482438782985394,0.2976021374378882,-0.09104542754488315,-0.07270951954735597,0.003427265118599642,-0.06728775696963318,-0.15349932705309766,-0.11638907986928468,0.023545411828656403,0.015934307673025037,-0.1396968996943098,0.03603914728937687,0.1707881327507281,-0.015755259531980717,-0.06740019037009046
2,-0.092,-0.08260097513923667,-0.10778739654658799,-0.12215095472308554,0.004311169326263983,0.06349799832150325,0.3491870620246294,-0.006984615567684494,0.19824780817069157,-0.05338124067266279,-0.00902056767501837,-0.03632022158526451,-0.01420763676081539,-0.03777154542564201,-0.1366506759390886,0.06701079130142895,0.0755965991348927,-0.10144509795920592,-0.029837845607801883,-0.02127153303513064,-0.04422561119427608,0.05383831436600707,0.14011642046660278,0.01343327827942145,-0.015437126477660578,-0.022205057538066418,-0.029988351955862587,-0.04282361408947692,0.04781824788379381,0.3980401162129426,-0.2138850822961682,0.38688812400920525,0.02382355715360073,0.2226757845432109,-0.08711776168719887,-0.04220135427101176,-0.001072135981705376,-0.06077988978548244,-0.1495455042737128,-0.09988077853807753,0.008149785761478805,0.000696482088735499,-0.11765572588573756,0.03935472396145567,0.17004015819930524,-0.027425107742601592,-0.0661256629480009
3,-0.088,-0.07949608943563198,-0.10150479358507486,-0.10357595937535737,0.018968956643933842,0.05317311098421057,0.3166037462517203,0.009328903262552755,0.15492138491984792,-0.03261397269879977,0.0010702204492476822,-0.019554463883647576,-0.019675907965597764,-0.018262730905286913,-0.1558004963620492,0.08009876162491203,0.06694284733310667,-0.09538409269288504,-0.029543350780446447,-0.009783481693435282,-0.02753997029156822,0.05157862356169402,0.11085542095112784,0.01223661416891722,-0.004062911851952554,-0.012272005313646696,-0.007715037352248423,-0.03437423695585499,0.05704377909967679,0.3394559649532037,-0.1925506574493033,0.29754957196207554,0.014699020509334667,0.12367663235896109,-0.07930656136518453,-0.008309172546675087,-0.00517188017185888,-0.05262486990710467,-0.14107324950705397,-0.08058355910317104,-0.011783450200481976,-0.015721367820458066,-0.09950768960365165,0.040928665125635096,0.16309732020263132,-0.03660178723588762,-0.05678812731550054
4,-0.084,-0.07319553803496714,-0.09405659085566649,-0.08258769929962992,0.033093858093988564,0.042435255160456486,0.2772395316591454,0.021828795390943068,0.10817624961781527,-0.010586882890270547,0.011690486647956156,-0.002154773513196605,-0.025589246014612,-0.0010010443171231842,-0.17119531450282446,0.08929383543569998,0.05703136108650454,-0.08423823342978112,-0.027121293380968282,0.002663865152842667,-0.00995789717377997,0.05043168599943296,0.07953439658901736,0.009042362381629372,0.007275787615096377,-0.00024541072603888683,0.01494157548977297,-0.020372489542459668,0.06423512666338814,0.2606714451974284,-0.16651953927264096,0.18226990588628428,0.008030406068021273,0.008245214646384412,-0.06805474834722147,0.026972415663577234,-0.008554493590712576,-0.04288792493721695,-0.12865684737052946,-0.059882059370659775,-0.03402205142622782,-0.03237209093516888,-0.08234322602303668,0.04067611612176418,0.150800271512306,-0.04258871784961888,-0.04021310937221539
5,-0.08,-0.063820638395108,-0.08579129929058203,-0.0598096500088111,0.045657715908121746,0.031572833560172806,0.2327511030584419,0.029593747757659085,0.06004821773607267,0.011338584919914088,0.022104072392406166,0.014959350359125996,-0.03110401272696172,0.013346868135134507,-0.18160797259361042,0.09391790598081105,0.04586448897814544,-0.06885236152286374,-0.022960944694329306,0.015247198672533761,0.0071933403610519595,0.05037847586425119,0.0475199271056261,0.004300446357676041,0.01761469043951921,0.01273943942287159,0.03702476421422873,-0.0019506534791686328,0.06869890028894717,0.1671117319972309,-0.13689211783264355,0.04891920389718568,0.004083574841798898,-0.11470159330568949,-0.054020478757479166,0.06130725707507264,-0.010978822984291033,-0.03185269204200754,-0.11310699430340536,-0.03890779160314562,-0.05515633343454282,-0.048156213208527136,-0.06309324657509256,0.0386205249245605,0.13423320027418045,-0.044766160736086434,-0.01784223502605807
6,-0.076,-0.05162749497239985,-0.07714187431629677,-0.03606168732259621,0.05561737238227531,0.020827289855972504,0.1847861620951365,0.03220404368721082,0.012533987999666726,0.03149640939814664,0.03150056538891695,0.030887563393430684,-0.035401766041218585,0.02432154151311731,-0.1860385425506774,0.09363369230710036,0.03366340039586286,-0.05033191865896555,-0.01753864835529998,0.02716940030367625,0.022573853573035155,0.05121257629433373,0.016087803757529107,-0.001466475782337236,0.026070690463060025,0.025424607304655764,0.05756997155620716,0.01934106997819674,0.06989392845309403,0.06504479120268632,-0.10516354666346255,-0.0932638675107601,0.0028969573365366613,-0.23580777719402732,-0.03811356876284906,0.09235150542047343,-0.012242456255991636,-0.019872515625814654,-0.09533502375816262,-0.018716908532469195,-0.07071794648436455,-0.06198607298049633,-0.042491795012526444,0.03488237909847959,0.11461036486005034,-0.04288216347508996,0.0083162828725545
7,-0.072,-0.0371117379274605,-0.06826263798221803,-0.012186794893923969,0.062118759869080796,0.010435345995090411,0.13518442056475083,0.02970913859419261,-0.03253418665779756,0.04855695686069552,0.039257660972340465,0.04481231984201927,-0.03780593510358367,0.03165289522519683,-0.18379137186429945,0.08836848778665697,0.02062359580407453,-0.029991636413778954,-0.011383449810943023,0.037554833286501235,0.03497909448041278,0.05252553805290913,-0.013525467225063014,-0.0076738671430212155,0.031904909998377605,0.0366204451564247,0.07556488530658616,0.041717852245636636,0.06748805495934562,-0.03881094702753408,-0.07288198058249583,-0.23423709353791405,0.004337146604213438,-0.34587794946138756,-0.021225948592171633,0.11785815842655895,-0.01227742491436819,-0.007456844799744852,-0.07630294512346994,-0.0005357562105275258,-0.07741782425701582,-0.07283571419050286,-0.02407809540677888,0.029685805875616502,0.0931471689599892,-0.03697612940833498,0.0359331598507667
8,-0.068,-0.02087617649888447,-0.05900088251929966,0.010888940425650062,0.06464987968635243,0.0006147822770663718,0.08612984477219839,0.02274672968869187,-0.07313476099453561,0.06220737980203457,0.044860594984068546,0.056060592491452274,-0.037849520872192996,0.03529974678610835,-0.17446793668660324,0.07841498254347995,0.006975299858797184,-0.009196674309795816,-0.005048546061634271,0.04582917892003379,0.04346751833451293,0.053759654337678854,-0.04024175106416259,-0.013734637471995579,0.03459482511217253,0.045325531677062283,0.08999632280237087,0.0633036722500434,0.061367128845833244,-0.13768395060827546,-0.041547732537158724,-0.36392129392106404,0.007937508842414603,-0.43652174366567276,-0.004285567297129818,0.13594867503040906,-0.011105077019527277,0.004886132237883695,-0.05692403202696505,0.014420341460044827,-0.07424184803930835,-0.07982297769245522,-0.009272305055063742,0.02335029422703784,0.07106296692141155,-0.027364039929563346,0.06250541396666756
9,-0.064,-0.0037197678995181966,-0.0491082761977773,0.03207766228770108,0.06325310356206211,-0.008471188558130366,0.039396704505037634,0.012282726461606518,-0.10719575955037862,0.07211649689226855,0.04773575443274328,0.06401499976442968,-0.03532070551844623,0.03549985883569809,-0.15802938627111401,0.0643205118655043,-0.007033197385055277,0.010691048304861981,0.0010005261794388796,0.05145772766238416,0.04744222008637008,0.054215948192094535,-0.06312000861676986,-0.019058301636629436,0.03390068900092447,0.050769908798284406,0.10005051814169247,0.08231326050696068,0.051724677671293136,-0.22522068402303264,-0.012674294735009814,-0.4729789746321513,0.01306062632299965,-0.5007646902273082,0.011828558087944026,0.14523659768402833,-0.008856664811985744,0.016560587198838232,-0.03804414812957232,0.025408922775661966,-0.06224304838195062,-0.08229745023986478,0.004060145425573451,0.016249125237435713,0.04935579485409966,-0.014688194905936279,0.08563346715913214
