,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43
0,-0.1,-0.8671363742113306,0.21628262489564407,0.823043101757525,-0.0867891844229003,0.30162386066050784,0.15781406491798247,0.27030473779647995,0.7348095903666869,1.323431792122089,-0.2670559588331636,0.08047755497819474,-0.6425604961883231,-0.22291854174955572,2.94311005829469,-0.09234309236286271,-0.21957663900950286,-1.0251960381152287,-0.06915022612425603,0.43113902347928534,0.0605506446796319,0.1844059117290196,1.2885699605100367,0.4012217976745158,0.06405993236393662,-0.12988282071811022,-0.13664406718961414,0.22263712695427082,0.19697096692019392,-0.3560141895500709,-0.989849211199796,0.2694949125349596,0.8830490609192423,0.584922196371588,-0.028171046075905957,-0.27471993938500205,-0.3645407583916081,0.3446675712595021,1.1180454628633958,-0.32432125903275344,-0.5569069437652697,-0.010436627972868073,0.4539703715998305,0.49524395164679214,0.30935339610024737
1,-0.096,-0.8405684721042553,0.435338274906613,0.7173412620851214,0.03412926817623579,0.19041821443876297,0.13070221490772063,0.25601249059081527,0.7737338751648971,1.1509785443051759,-0.22742942184767162,0.057712137352637145,-0.5173098716337349,-0.1677203921575346,2.987633442111788,-0.08012902329158543,-0.22403685868159745,-0.8756989424945977,-0.05513506235928765,0.45062114259064584,0.006163467796210295,0.21797411531933553,1.2123952075908349,0.34345405896081527,-0.046910717005304296,-0.21533860853514872,-0.14830107096705772,0.38981482688660424,0.17904259589587734,-0.20135396651945123,-1.081832436572871,0.28302158932358523,0.8427000518454352,0.5365355428162217,-0.02613090159531218,-0.28584912279228475,-0.3924468931191801,0.3032114657063176,1.013792820738166,-0.29144363442136706,-0.3399923801943505,-0.057511151767579025,0.3969179164810332,0.4698220828562672,0.2947749151713542
2,-0.092,-0.8059929681970124,0.6330927403610674,0.6152742343856794,0.12434477207500012,0.09490133576192775,0.11391021675351777,0.23376386147303488,0.820229864545148,0.9739337981211872,-0.1892883013772022,0.0319809989113551,-0.40958835771245655,-0.11344643722195294,2.923972898980054,-0.0724597269015122,-0.20609232643547884,-0.7217470483842433,-0.03468427834636358,0.45940097263878404,-0.04182873287237174,0.2466794191861276,1.1261402745132514,0.2758778491994905,-0.14230333348870036,-0.28460232178854467,-0.1476918961697855,0.546227378956797,0.15789308727273738,-0.05358026421600643,-1.1354504809606074,0.2682099526329777,0.7875631841056095,0.4458704903746731,-0.02919352094248676,-0.27078271708275525,-0.4097844470354803,0.26482397435261107,0.9259646626170313,-0.2553460541186662,-0.12987173921324782,-0.10436324284131239,0.336470002963327,0.4488227080460695,0.2591282239329985
3,-0.088,-0.7616731414063224,0.8004120961932653,0.5184870926448429,0.17948940108220396,0.01823683336713933,0.10692918682165538,0.20406055160071412,0.8651870501149685,0.7927333372710624,-0.15190695936136595,0.005225555457011821,-0.3208880461451076,-0.05900747146241624,2.7472527941968363,-0.06768073628070417,-0.16827833962703392,-0.5671530587957541,-0.008742292312277033,0.45579821033642925,-0.07986636744183379,0.26784753663505334,1.0307105293195085,0.20178777810708334,-0.2186876371324849,-0.33429446079736425,-0.13568175819419115,0.6817552994040413,0.1340139671466018,0.08268864843731068,-1.1460446855489201,0.22709088105531314,0.7168216082359722,0.3195988031491228,-0.037042303195370135,-0.22546723244230507,-0.4143462164945329,0.2296358953270276,0.8513042294799629,-0.21552288223208288,0.06275838208294864,-0.14951147129251383,0.2754078508421386,0.42626449687416945,0.20442173972350483
4,-0.084,-0.706765257862586,0.9296642114939743,0.4277973839682244,0.19837984665652247,-0.03831442343780632,0.10992270393754142,0.16829366485992536,0.8993493408927598,0.6089078541655041,-0.11500411718978829,-0.020558731659961547,-0.2513946857093531,-0.007131642286346969,2.4662870368496006,-0.06395435276053736,-0.11508307465261308,-0.4158773186057168,0.02116155244086749,0.4389390489893595,-0.10535599691649825,0.2794432375792643,0.9273245433534386,0.12492279173148757,-0.27400303027683476,-0.36268115258232747,-0.11404903876773695,0.787474386682233,0.10791413103053658,0.2038606297083521,-1.1112936167881133,0.16308371702212948,0.6310719750158322,0.16654168790187845,-0.04819663430165737,-0.14813569150816003,-0.40452140413277454,0.19757294096343758,0.7855981696916692,-0.17194421067431281,0.22896954220736457,-0.19118260379819954,0.2170984943077086,0.3965339170950534,0.13424262203587667
5,-0.08,-0.6413581997232096,1.0148369670451562,0.34341270136057256,0.18195727898807112,-0.07540146207456838,0.1212982032332296,0.12839494353251768,0.9139042031617721,0.42555095608658183,-0.07852703991510017,-0.04359364308702927,-0.1998277697606964,0.036395677470079386,2.094050933343755,-0.05959360236762068,-0.05187931475968396,-0.2718262937425305,0.052725183963621795,0.40863004919363743,-0.1170757016771762,0.2800453320281082,0.8174298144067347,0.04885508693314965,-0.30766370610048943,-0.3695686665460015,-0.08489763874072459,0.8562348877497964,0.0802708234884235,0.30718122842659895,-1.0312169837899925,0.08147588641676574,0.5317393205338986,-0.0028341174101315053,-0.06133638681891983,-0.04025378704582104,-0.37950539448912396,0.16808929139530326,0.7240143622127875,-0.12472474024626809,0.36215501280040086,-0.22722114407986516,0.16532465545418681,0.35579280757572196,0.05379272564408621
6,-0.076,-0.5660825583212518,1.0519143491357794,0.2649773987025838,0.1334545302135442,-0.09530403069124195,0.1377780767323939,0.0874834670288772,0.9011504063647136,0.24635892467083156,-0.042351437305072404,-0.06211642347115903,-0.16378245678427694,0.06805414021008281,1.654451182950167,-0.05300833116009897,0.015176057690892636,-0.13847908174034007,0.08348670050287738,0.36526111315097254,-0.11521218237955881,0.26899093714920075,0.7024930675248552,-0.022912806585924254,-0.32034055778324383,-0.3566934415466662,-0.050856568613305946,0.8830170872252605,0.05213524286717712,0.3905735924961348,-0.9085553400737131,-0.011222077183589795,0.42079353755400256,-0.1769426978294911,-0.07511099935929107,0.09372311263655105,-0.3394074882622658,0.14078995053615354,0.6618541435015293,-0.07430797284831603,0.458114136917987,-0.25574238000870275,0.12349654119087129,0.30157317710424747,-0.03077321511651899
7,-0.072,-0.4822350159891268,1.0397559704055437,0.19181474915540764,0.06014098656871559,-0.1015976103101869,0.15509070243157919,0.04894910735933116,0.8559446973805892,0.07536998713100651,-0.006673662416463874,-0.07497926975097509,-0.1397702975188779,0.08897503487657682,1.1715795473281576,-0.04308958901101077,0.07973911624734151,-0.01876269190977495,0.11124924199803714,0.310028074939813,-0.10106815099516281,0.24638740268667572,0.5840021374594387,-0.08748404333381479,-0.3139524028712264,-0.3269261603755419,-0.014990496926256446,0.8651260207360015,0.024503555655863863,0.4525474063794585,-0.748496105090057,-0.10768161075228715,0.3018775231555959,-0.3440544622668025,-0.08808729744204154,0.24675556213548114,-0.28549336465789676,0.11534748327025493,0.5947974095441668,-0.021958114819973226,0.5152425030562755,-0.27478686547830633,0.09426753669026133,0.23377410742617688,-0.11286648189367478
8,-0.068,-0.3916179042308371,0.9797218763986226,0.12313859498824913,-0.030232518071165268,-0.09858387956705365,0.170070172530689,0.016022836269499914,0.775767356928306,-0.08361080234101885,0.02769498048745859,-0.08134472773898381,-0.12382224708528987,0.10154618376381706,0.6760734025510114,-0.02927801050123571,0.13584763150307852,0.085078086990752,0.13366850316456683,0.24472640643119836,-0.07706998492551398,0.21291645193627495,0.4634053985358913,-0.14243003707624532,-0.2913983666088713,-0.28394082055853437,0.019456009465348176,0.8026923827582805,-0.0017316994187027354,0.49259027382007003,-0.5587945093699767,-0.20064340541323628,0.17868085105656073,-0.4928420822562242,-0.09910955369268219,0.4090141153803191,-0.2200116965560966,0.09099969324804164,0.5194794004724463,0.030089191626023963,0.5346263424303779,-0.28254411648910754,0.07941542510750926,0.15415425297849258,-0.1863214099533921
9,-0.064,-0.29655386787542054,0.8753342938446932,0.05800461316185316,-0.12814655778416123,-0.09079093167422717,0.1806969115556968,-0.008403524571926623,0.6606172176142477,-0.22676745538481116,0.059324843884688463,-0.08093005884187944,-0.11216723961009119,0.1049554432161568,0.19302492033371452,-0.01148330297326046,0.17911660343229432,0.17159375861393458,0.14911367650470783,0.17185144863621957,-0.04625775451863968,0.17016178710346538,0.3420084606040431,-0.18603880497343184,-0.2562473205139544,-0.23188504497828374,0.04937199190429536,0.6986301917934311,-0.02574419563262717,0.5108730745328716,-0.3490654008040271,-0.28323271423363283,0.05513981170550912,-0.6135266522035834,-0.10699090401411154,0.5684879922920006,-0.14598344198101848,0.06688477311207279,0.43379167777610195,0.07945807700409994,0.5194604767175747,-0.2777140367467349,0.07876559648759708,0.06644741346018376,-0.245472304264372
