,,Category,0
20,3,0,0.05939430349123265
21,0,0,-0.1524891382919825
21,1,0,-0.023577198376994
21,2,0,0.013304704175995176
21,3,0,-0.031187899739112207
22,0,0,-0.07741259085372186
22,1,0,0.12761400239568377
22,2,0,0.1079435960829299
22,3,0,0.013651823988261858
23,0,0,-0.2540214402068439
23,1,0,-0.07806373019087942
23,2,0,0.06527255043990617
23,3,0,-0.11350398284472712
24,0,0,-0.23580883009200562
24,1,0,-0.07401995842536702
24,2,0,0.14937146794017242
24,3,0,-0.007968680757813873
25,0,0,-0.031507683013720804
25,1,0,0.13741835374651382
25,2,0,0.04287540180719489
25,3,0,0.04852935601698799
26,0,0,-0.08594951652107534
26,1,0,0.1658041685282106
26,2,0,0.07804356212265355
26,3,0,-0.050118943155257695
27,0,0,-0.1954108502781435
27,1,0,-0.18390735167362526
27,2,0,0.04078434772346935
27,3,0,0.025825980894367714
28,0,0,-0.054745382680788365
28,1,0,0.1439923131035607
28,2,0,0.08453944630405398
28,3,0,-0.07426217088866226
29,0,0,-0.13627534286166645
29,1,0,-0.07688096491034502
29,2,0,0.1705040798191447
29,3,0,0.02623387248938093
30,0,0,-0.12829489625148432
30,1,0,-0.008433484175093672
30,2,0,0.19691393065922666
30,3,0,0.015602925349753658
31,0,0,-0.06513275716955244
31,1,0,0.1759664685386429
31,2,0,0.13757299843581236
31,3,0,0.05535444903573219
32,0,0,-0.08956771977361612
32,1,0,-0.06396662769494135
32,2,0,0.06373293336342886
32,3,0,-0.012175173890545926
33,0,0,-0.16970632033344069
33,1,0,0.09146785333929834
33,2,0,0.08936785000042646
33,3,0,0.06363549615246808
34,0,0,-0.13485960166092853
34,1,0,0.11826380857553676
34,2,0,0.1860700478965184
34,3,0,0.05592826767827208
35,0,0,-0.2033531944282398
35,1,0,-0.04410603956220504
35,2,0,0.06681449961148092
35,3,0,0.033806148310097546
36,0,0,-0.24556452959877764
36,1,0,0.05816552645172824
36,2,0,0.1504947595808854
36,3,0,-0.0219252850734883
37,0,1,0.7722691848282918
