,Unnamed: 0,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43
0,0,-0.1,0.0941513672406949,-0.1059653756909472,-0.0332772974015336,0.3178879851445189,-0.0930071966917233,-0.1591814698016798,0.014642195654683,-0.0292531603868342,-0.2020636108057386,-0.0679727760182395,0.0270309600728235,0.0615746897955637,-0.1028145047105552,0.4085683617210088,0.0081028798264228,-0.0764982457330821,0.0224171411013644,-0.0243680520884717,-0.005971871435489,0.1016521498260398,0.0286639647495155,-0.167576571969286,0.0394251381870004,0.0037264638437158,0.0048828549635115,0.0637546911218306,0.0723128381524142,0.0260595752003622,-0.3738287043114495,0.190236025612055,-1.0373658927857878,-0.0242921618393655,-0.6395897110230411,0.1193918446860921,0.0892902280022226,0.0405658118817782,0.0705848118144093,0.0819654515819585,0.1047064816535116,0.0911283318000663,-0.0442641874624019,-0.102207343120375,-0.037344846369417,-0.1164734905064853
1,1,-0.096,0.086229905565497,-0.0999760014358168,-0.0340777392830248,0.2942370545172144,-0.0927893330643267,-0.1240442341686142,-0.0054063382039803,0.0337868905716958,-0.2016654815383913,-0.0613288896027842,0.0027967821242669,0.0574794524345409,-0.1121922646437161,0.4460655243939427,0.0067067704815365,-0.0785966926699658,0.0235880460598476,-0.0327342244487943,-0.012328236403964,0.0777703659935815,0.0338365406428477,-0.1460468427932585,0.0398734008793263,-0.0093543769054391,-0.0024421905806507,0.0591739660894035,0.0776720868529778,0.0183910005886059,-0.3092153091075311,0.1864812699254525,-0.9753724777167212,-0.0030213034104723,-0.5366694442996557,0.1156351010562689,0.0908377656446824,0.0393321836766363,0.0755305741304629,0.0663007610921684,0.0954351154011398,0.09797702446385,-0.0206526211555594,-0.0920987627139068,-0.0440781102624271,-0.1147119735811428
2,2,-0.092,0.0745630841396162,-0.0884271596277413,-0.0348095664204771,0.2520555909368477,-0.091390833684058,-0.0824053144021069,-0.0213543026216911,0.0959298341390219,-0.2000333551582688,-0.0531767753581309,-0.0240126091671489,0.0540036853979707,-0.1189826424595461,0.4704108081763165,0.0027111792649476,-0.0801097547713771,0.0218078956260237,-0.0430006869160965,-0.0222085893289306,0.0519374455517404,0.0374757413147829,-0.1241661646524125,0.0419681382187725,-0.024442278820068,-0.013463839633264,0.0498725368555397,0.0739312757581679,0.00975156543624,-0.2166803623677294,0.178341507003284,-0.8367921220261867,0.0134491045837128,-0.389388603121363,0.1074256571958098,0.089909919570904,0.0340636853396693,0.0773301906322521,0.0495347843635987,0.0820137081628796,0.0942638125483936,0.0028768318598474,-0.0803944778273671,-0.0506376559938635,-0.11142224398953
3,3,-0.088,0.0597837296913523,-0.0725768744667575,-0.0352112091415302,0.1940659460356434,-0.0886633935025637,-0.0369723149551214,-0.0316729003716095,0.1527175852939557,-0.1956529368929029,-0.0434450875965437,-0.0516854406737634,0.0507054847674083,-0.1221923680223973,0.478712838214982,-0.003336068925404,-0.0808939502325155,0.0174167273190085,-0.0545377020799586,-0.0342291187232019,0.0257425605951791,0.0387885599475803,-0.1026586085229877,0.0451644404094045,-0.0403435271152555,-0.0269032773881744,0.0359809841512875,0.0608971880352735,0.000804066057977,-0.1040046920971736,0.1658779420000063,-0.6309449571614363,0.0240852052491707,-0.2083247110349285,0.0955605892177116,0.0869974289184327,0.0251774871514819,0.0755608493011544,0.0326461132912705,0.0651696681602099,0.0799772787281391,0.0251849856532965,-0.0683494232458242,-0.0564851001693611,-0.1069124768689116
4,4,-0.084,0.0426990366212922,-0.0542203419169814,-0.0350505461011943,0.1235664790789706,-0.0845092771458974,0.0092359725995251,-0.0353057140482972,0.2002059234817456,-0.1871104831255542,-0.0323430399585781,-0.0783951846999855,0.0471133163368315,-0.1210240251492966,0.4688520114336078,-0.0107145849002017,-0.0807317490781156,0.01098329906285,-0.0665150111647298,-0.0469171233739848,0.0008920968342429,0.0372937880290966,-0.0821190719891197,0.0488233383794107,-0.0557130169831805,-0.0412819881712455,0.0179682806922727,0.0392791978143538,-0.0077772822993993,0.0197206554071403,0.149402623907347,-0.3720028146187054,0.0283619666513248,-0.0064862891362881,0.0810882946976409,0.0827806372305589,0.0133533461318013,0.070032686746737,0.0166252617013708,0.0461166238501568,0.0552908932120679,0.0451259546280729,-0.0539926230055851,-0.0610909182559131,-0.1015073886950296
5,5,-0.08,0.0243188044924584,-0.035168387813208,-0.0341131874220106,0.044587694410473,-0.078867445651992,0.0532241044169992,-0.0318298722480276,0.2351801703961173,-0.1739282852776666,-0.0203647500777924,-0.1023554938940451,0.0427678295216855,-0.1149465794138868,0.4398618277524766,-0.0185825571978877,-0.0793263235960132,0.0032321171207085,-0.078043772232602,-0.0588390668853715,-0.0209774962964136,0.0327881892708615,-0.0629259151194155,0.0522964093481857,-0.0691792412743945,-0.0550161706641565,-0.0033010446484967,0.010679348073022,-0.0153659255651248,0.1447456301842046,0.1294895492784777,-0.0780395601336306,0.0262308281809553,0.2016545801180152,0.0652094062325259,0.077946286227343,-0.0004657495166652,0.0607818045885772,0.0024111331618151,0.0265369431164623,0.0223718681943751,0.0616260514056719,-0.0354452269639347,-0.0639843519544349,-0.0955043256210217
6,6,-0.076,0.0057294601865845,-0.0166390290482634,-0.0321313149260249,-0.037953464993976,-0.0716794985736173,0.0925663636408166,-0.0215572997140127,0.2552933721299427,-0.1562662363386063,-0.0080491427292571,-0.1219440264212583,0.0372725745151224,-0.10380275998227,0.3922560227392309,-0.026041175089373,-0.0763240790135543,-0.0050164773648658,-0.0882117610561644,-0.0686781429288361,-0.038462467188391,0.0254055750467059,-0.0452807865296146,0.0549326929644978,-0.0794385685152573,-0.0665121879524899,-0.0266508661942377,-0.0225724162273103,-0.0214018589434726,0.2614549366677811,0.1069420150565407,0.2303147554211987,0.0181499983101283,0.4011656615581239,0.0491772043630414,0.0731256628964501,-0.0151779732285127,0.048143401230483,-0.0092457707092085,0.008163000146836,-0.0147964081226629,0.0737888453851443,-0.0142387544147855,-0.0647686140090779,-0.0891262291870236
7,7,-0.072,-0.0119471637239631,0.000646964996273,-0.028846151713392,-0.1184052519564577,-0.0629023217859073,0.125099971532296,-0.0054889363832494,0.2592764701874184,-0.1344937548792618,0.0042108036797459,-0.1358329296407129,0.0303868607516901,-0.0878643554772382,0.3279558917705804,-0.0322242120721284,-0.0714080025275147,-0.012930140728161,-0.0961368923424338,-0.0753575885799147,-0.0505141137675862,0.0155804795366561,-0.0292049480792783,0.0561652173892544,-0.0853990142147762,-0.0743654417223927,-0.0507071088363714,-0.0576235016533814,-0.0254589951174357,0.3610530092498424,0.0827191511677394,0.5313003209912316,0.0050538529993903,0.5777544433765854,0.0340261996553635,0.0688537547682851,-0.0295473510050645,0.0326749629510506,-0.017800314960046,-0.0076889700641746,-0.0522602461661551,0.080918133474036,0.0054278811294604,-0.0631812916499006,-0.0824586448253319
8,8,-0.068,-0.0276948133487027,0.0159274655753857,-0.0240627663667643,-0.1913469263761243,-0.0525693499556797,0.1490691887344756,0.0147017689330761,0.2470763198450786,-0.1086904532225685,0.0160614568145336,-0.1430611355174481,0.0220341261470538,-0.0677887606526514,0.2497967553146747,-0.0363654839920959,-0.0643992842932917,-0.0197684292291145,-0.1009935049263129,-0.0781278226274652,-0.0565748429127997,0.0040122899881689,-0.0146668350715017,0.0554915472021135,-0.0862750654155256,-0.0775515493933175,-0.0739695194296916,-0.0914082599906458,-0.0272897427223461,0.4360779988909106,0.0578214499076521,0.8036074640130492,-0.0117271411077146,0.7187379341141452,0.0205938164033745,0.065568317898651,-0.0423190492624193,0.0151316722661655,-0.0229829396135355,-0.0201704206415301,-0.0873308658898611,0.0826219133552301,0.0212580398897083,-0.0591277688963658,-0.0755077400872859
9,9,-0.064,-0.040612962202086,0.0283256967626946,-0.0177839984248406,-0.2523480390636313,-0.0407743519543731,0.1630499125634378,0.0368852341336435,0.219835714061905,-0.079336603413859,0.0269664924277929,-0.143094914886354,0.0123330325731491,-0.0445369965437445,0.1615006587736706,-0.0379090447662204,-0.055188934219977,-0.0249443129013475,-0.1021208958746018,-0.0765456628002441,-0.0565944846715652,-0.0083887173558241,-0.0015524679932267,0.0525249481943134,-0.0817002587021808,-0.0754964904861726,-0.0948693767003622,-0.1209381744213557,-0.0268642562237233,0.480868905703445,0.0332556909608644,1.0278791759669013,-0.0305889754619181,0.8140101297659912,0.0093239065164052,0.063412106710435,-0.052380864809705,-0.0035345132590567,-0.024799400203609,-0.028659509406264,-0.1183138329827432,0.0788199238042332,0.0343403120397918,-0.0526543432001554,-0.0681456253083367
