,Unnamed: 0,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43
0,0,-0.1,0.1057712731450606,-0.2965582448626196,0.1486677794503992,-0.9663673429666,-0.1421798613395355,-2.0558466905851813,0.1323966620310015,-0.194740412874093,0.0419108017277685,-0.0225470918730235,0.0574697433298349,0.0394322820313037,-0.3818317805292534,0.5842744964421751,0.0786344463045283,-0.146155961888939,-0.2273166467395177,-0.2485152181698263,0.1019446653027281,0.0680383334797729,-0.3183553740448397,0.2141287862966164,-0.127211286827536,0.0005687622690775,-0.0103117951564649,0.0507801112172559,0.1020206128963844,0.2505099152848762,-0.2960207919052956,-0.111104689785773,-0.9211251480297324,-0.1440218127636853,-0.7688202550408985,0.1343795201737302,-0.2089407688525123,0.1094169090679196,0.2050475572628855,-0.0943881557381078,-0.2515565805782873,0.8465300946111668,-0.2164103505803364,0.0277368981987269,-0.0786818787673294,-0.0182080130973293
1,1,-0.096,0.0936908817278681,-0.2911450427037387,0.1777770313387841,-0.8293272022307814,-0.1631137494679228,-1.985389839963759,0.1089637713626155,-0.1828663494052321,0.0017048123148827,-0.0576818868161328,0.0800168773360118,0.0170702161126154,-0.3689994793662288,0.6664364411725825,0.0686348931852331,-0.1223039400195041,-0.2136375919160243,-0.2445031245593339,0.0721841672295025,0.0769072995201851,-0.2483633912510772,0.1963690801962405,-0.1423135691261859,-0.0315746405695578,-0.0224451667554115,0.0467021421543527,0.0811648031119102,0.2277957471498944,-0.1627566441728928,-0.1097033051740847,-0.8793195800383792,-0.0855813275372376,-0.6867937281743877,0.0995689033853773,-0.1922342577450715,0.0886477286642563,0.2008584751008621,-0.0773749191264057,-0.2449575151246758,0.7000373354824299,-0.1629521096301622,-0.0215266516826553,-0.0867390533577781,-0.026661021920077
2,2,-0.092,0.0867177510199285,-0.2776636505241442,0.2025451304595049,-0.6764428921204811,-0.1754868317926651,-1.8684335213656096,0.0755852364346295,-0.1628203137070659,-0.0455250574185819,-0.0879616411671981,0.0965650050165116,-0.004498038850636,-0.3535364543560539,0.7194660963757414,0.0593461630753724,-0.0948955224611087,-0.1907587464714957,-0.2358509259257801,0.0448722042473717,0.0792449298928488,-0.1754240328942224,0.1790979187999775,-0.1547579645549889,-0.0618433474850033,-0.0326036300093022,0.0372996234904454,0.05987940342282,0.201218828800112,-0.0076000647044541,-0.105201946588161,-0.7644574810801338,-0.0271115608450315,-0.5526835799919017,0.0622748695895813,-0.1708267029174581,0.0658451950142628,0.1951906209993929,-0.0587061774094328,-0.2355643043993088,0.5537840358003112,-0.1060600845822448,-0.0653195939965929,-0.0898358516029433,-0.0364962016507465
3,3,-0.088,0.0843849004204901,-0.256338694638804,0.2210823311552326,-0.5115586517174563,-0.1785601478771822,-1.7030211513849352,0.0349087302077942,-0.1346114272420268,-0.0947746030088351,-0.1118996270548206,0.1061448845171937,-0.0244681708547219,-0.3357700895828771,0.7386833200989328,0.0502626643111225,-0.0655031140932633,-0.1589332809404286,-0.2224466372002002,0.0208070341392751,0.0737437353424357,-0.1027956409510356,0.1623078903203681,-0.1628769143411162,-0.0891514197016406,-0.0402698555740027,0.0219738184361003,0.0386339456503948,0.171183036440122,0.158009116724685,-0.0980130232690695,-0.5853792983087418,0.0294298358605402,-0.3763490333417779,0.02308618007223,-0.1445893314590511,0.0421832232097752,0.1881514027630952,-0.0395028431370614,-0.2233504699227975,0.4089182884655979,-0.0474308007939143,-0.1005112007486027,-0.0877792004885527,-0.0468717076357437
4,4,-0.084,0.0856799582670686,-0.2282922359048571,0.2320376848408169,-0.3399142750721047,-0.1721955573952672,-1.490602156601341,-0.0095401287193957,-0.0987152173135593,-0.1409280773219944,-0.128698602852337,0.1083245088939963,-0.0420012832248122,-0.315780752883571,0.7226046769914674,0.0408754314643231,-0.0357766243671369,-0.1191069937707717,-0.2042719696626652,0.0005036781326406,0.0597695057535682,-0.0336344161328189,0.1457008043054491,-0.1652701748704858,-0.1125509567001376,-0.0452828047596874,0.0007836714988761,0.017913455842194,0.1382356628015818,0.3220031846447113,-0.0887884430355428,-0.3554776851129209,0.0819703706638075,-0.1706449693807697,-0.0170891415991018,-0.1135790074239612,0.0188932811582031,0.1798494654452981,-0.020786234007151,-0.2083338875163481,0.2677386204534218,0.0110470178377081,-0.1244619137675499,-0.0806922397535069,-0.0567984829938575
5,5,-0.08,0.0892682872532172,-0.1952264952273424,0.2343181199107531,-0.1677585791822755,-0.156830852974918,-1.2358320514080523,-0.0537665744603629,-0.0561695140339295,-0.1798169026081898,-0.1381769872452888,0.1031372463759329,-0.0563365195472001,-0.2933841550302679,0.6729337372075335,0.0306875137107987,-0.0072003528379729,-0.0729234964591646,-0.1815241293300971,-0.0157642940904461,0.0374376430903429,0.0291905504010449,0.1289176575257163,-0.1608935088277047,-0.1312816045561445,-0.0478366827699051,-0.0254350053781518,-0.0017636966841281,0.1031045204178274,0.4724185272308379,-0.0783366295096223,-0.0917623099386953,0.1285008731594148,0.0495000077199905,-0.0569752368612099,-0.0783104528519969,-0.0027716382910267,0.1702599623001713,-0.0034360417851914,-0.1902113076254631,0.1361150707470547,0.0673069098557627,-0.1358651543212831,-0.0690826593416697,-0.0652695237094171
6,6,-0.076,0.0935829649325523,-0.1588724041470455,0.2272434302770122,-0.0014656867279036,-0.1334352210429888,-0.946067093726653,-0.0937413564723082,-0.0086526006604946,-0.2084925052059136,-0.1400975743203339,0.0910522822392991,-0.0667817555395547,-0.2682122292825303,0.5946339784225708,0.0194361954592904,0.0188720673224512,-0.0226178752971793,-0.1545312600021747,-0.0280708378158325,0.0076622791621111,0.0832578302594836,0.1115495368012043,-0.149218131138609,-0.1447779018014246,-0.0482789378074606,-0.0551478558960153,-0.0198424971272518,0.0666499969722688,0.5982893025756856,-0.0674750359875078,0.1863931320438997,0.1670827799983556,0.2681675938807037,-0.0949795496676849,-0.0396993228901185,-0.0215988560883855,0.1592162000745349,0.0118447876390264,-0.1687234078541004,0.0199520987480399,0.1192519300271694,-0.1354749443178498,-0.0537582544405985,-0.0712801370365654
7,7,-0.072,0.0970186452929111,-0.1208373771193449,0.2107471803356102,0.1530934592079132,-0.1034538326102583,-0.6314302770746028,-0.1257868819165652,0.0417177979842566,-0.2249835599921407,-0.1340557477306495,0.0729937025535706,-0.0728238521662103,-0.2397758152235719,0.4950888085629055,0.0070304785199188,0.0411995758839737,0.0290786919031408,-0.1237525410883846,-0.0366262691509996,-0.0278674137539135,0.1267402741253705,0.0933313448224694,-0.1302573260259078,-0.1526613183903397,-0.0472138295142233,-0.0863032930969027,-0.0357831521254031,0.0299061255593971,0.6904592439005361,-0.0569268558556703,0.4585606898101829,0.1959727246666561,0.4696614250767348,-0.1292498853025847,0.0010275634492589,-0.0366194600974305,0.1465338854479453,0.0245255306553174,-0.1440213407289708,-0.0794136849628903,0.1647733313167811,-0.1248565840664929,-0.0357854950655711,-0.0740187889508213
8,8,-0.068,0.0980425975146229,-0.0827370119038252,0.1856352007513723,0.2903931277101055,-0.0686924583643756,-0.3045211309589881,-0.1469023849867213,0.0924349594130147,-0.2279710848679201,-0.1200400115318747,0.0502045947179136,-0.0741244709150867,-0.2075102388964042,0.3829848253790363,-0.0063551325560949,0.0588495388211314,0.0791546352981997,-0.0897975497180834,-0.0418548835955875,-0.0668082252430023,0.158503133183875,0.0740444140592532,-0.1046602583090184,-0.1547663216536882,-0.0453451964183652,-0.1165314402870697,-0.0491746134164102,-0.0060016154504643,0.7421708900039116,-0.0472276942078665,0.7048291593942303,0.2137044477993245,0.6395878896596088,-0.1579038796878323,0.0423338873822377,-0.0471564747809737,0.1318546548761932,0.0342979399808076,-0.1167618719013088,-0.1643022027333719,0.20180275333599,-0.1053678772291851,-0.0164250349120977,-0.0728798377356224
9,9,-0.064,0.095446098139311,-0.0464121850619642,0.1533083889857758,0.4051291027269699,-0.0312302950421644,0.0203549279622275,-0.1550740927974698,0.1406608059422962,-0.2172501927233537,-0.0989641798910103,0.024091000124337,-0.0705428349700481,-0.1708837429407609,0.2670841180569919,-0.0203827070935221,0.0712468397366165,0.1245619843125971,-0.0534260476351645,-0.044259488196962,-0.1063280484669346,0.178004851613327,0.0536483253508473,-0.0735859762466118,-0.1511242291651434,-0.043284095894478,-0.1433124463057695,-0.0597003453559092,-0.0399775138588576,0.7495061371898473,-0.0386526020281079,0.9071437558103248,0.2192966388526061,0.7659922901578441,-0.1791742120092052,0.0823669626582574,-0.0528462748114795,0.1148494681089454,0.0410839922621525,-0.0876738122586246,-0.2354560402322138,0.2285071808919693,-0.0787494753881562,0.0029713208553466,-0.0675769530847545
