,Unnamed: 0,time,sub 0,sub 1,sub 2,sub 3,sub 4,sub 5,sub 6,sub 7,sub 8,sub 9,sub 10,sub 11,sub 12,sub 13,sub 14,sub 15,sub 16,sub 17,sub 18,sub 19,sub 20,sub 21,sub 22,sub 23,sub 24,sub 25,sub 26,sub 27,sub 28,sub 29,sub 30,sub 31,sub 32,sub 33,sub 34,sub 35,sub 36,sub 37,sub 38,sub 39,sub 40,sub 41,sub 42,sub 43
0,0,-0.1,-0.089275243157409,-0.1006227025292437,-0.1015095477705356,-0.1688671113036697,0.1277881110707924,0.4291474600056491,-0.1222523543325012,-0.0450399400932457,-0.0906248757570612,-0.0365711260403316,-0.0640239305203177,0.1531534868469388,-0.0937472073490936,-0.0040979191326249,0.0357290937036942,0.1259433070516807,-0.0764440736171369,-0.0762834009341648,0.0010418454200551,-0.0757921837119633,-0.0109851787813631,-0.1557082067552999,-0.0228505561654822,-0.0414433282706664,-0.1188510965709842,-0.0497235141921772,0.0800142295128443,-0.0361565190734559,-0.1616300485698568,-0.300339804287102,-1.011878845369261,-0.1049653054441258,-0.6092021663335782,-0.1703318720310419,-0.1196689509243564,-0.0567875969834598,-0.1166837972551059,-0.0680104246715724,0.0277589783553269,0.8831344073599268,-0.0577679697479718,0.0395585219869411,0.0176514463800731,-0.0981359082539526
1,1,-0.096,-0.0865927351933283,-0.1166075663681511,-0.0937543688324149,-0.1833329413087299,0.1247160673712877,0.4166970735170001,-0.0797686308104273,-0.0551365029835651,-0.1019296387385304,-0.0432563482697258,-0.0673352120775317,0.1509871881201191,-0.0754422528909921,-0.0477106468947071,0.0351602354174005,0.1315403284385243,-0.0752834326169503,-0.0769059601504518,0.0144618557501181,-0.0774750763775547,-0.0143151515482308,-0.1820355889176477,-0.0261168582700486,-0.025199819810472,-0.0995619942801934,-0.0451223882006529,0.0614518158064565,-0.0275375267757858,-0.0685858976198999,-0.260103375254966,-0.971143794543576,-0.0530806878494157,-0.544971240900883,-0.1696826588830707,-0.0953745276212418,-0.0495362507916308,-0.0877750121644279,-0.0719838595673684,0.0156109934423078,0.8310967094396097,-0.0739111354567709,0.0236102876392228,0.0161618430087587,-0.0817479666023936
2,2,-0.092,-0.0784319855597042,-0.1302336185186193,-0.0857749327764528,-0.2011567107872537,0.1195137562852237,0.4003836568210549,-0.0325988331101437,-0.0589158834962736,-0.1052023019897032,-0.0432892730563412,-0.0664649118593008,0.1458114962647573,-0.0528138938764536,-0.0948200923209161,0.0327137143230768,0.1319578781064027,-0.0736407450177045,-0.0726861958565181,0.0252096812896623,-0.0775569198303116,-0.0193956592229595,-0.2009514195675196,-0.0295918834716685,-0.0103637356692386,-0.0712067206557559,-0.0340707655430556,0.0437125253438958,-0.0181298229330674,0.0388005924442926,-0.2158452022351297,-0.8536710592943585,-0.0022020905701692,-0.4377253523469154,-0.160129502364929,-0.0701825412808622,-0.040850965523908,-0.0595830560544109,-0.0683537212331191,0.0036615219322686,0.7790822772227727,-0.0876442202691231,0.0062987677122007,0.0158190384856246,-0.0691819554928979
3,3,-0.088,-0.0645555245185627,-0.1406202226304171,-0.077690825048658,-0.2196515132352902,0.1122559136766541,0.3810990325693301,0.0150583819811291,-0.0560486418059454,-0.1014810738967834,-0.0377939681681639,-0.0614989062463563,0.1378135637723919,-0.0275619644732788,-0.144873139532636,0.0293865736066324,0.1272878940943859,-0.07152836728398,-0.0643317091246972,0.0323928264041711,-0.0752538580778669,-0.0256473170359434,-0.2111098049739997,-0.0330319729625402,0.0023229720827779,-0.0356981087717179,-0.0173525682994288,0.0281829341830165,-0.0089085042768009,0.1515293394594142,-0.170156825367466,-0.668030419180458,0.0442126441707088,-0.2952311198234309,-0.142062762239912,-0.0452307432581965,-0.0313176012142557,-0.0331602611924525,-0.0573475037289618,-0.0074483102129455,0.725736615093901,-0.0977499071571012,-0.0120584669488426,0.0165660223284465,-0.0611499490450339
4,4,-0.084,-0.0452483193979212,-0.1472823120561736,-0.0696006772885527,-0.2366510735696917,0.1030692185026299,0.3592791334300836,0.0590714016128303,-0.0468666238656471,-0.0920621604168452,-0.0285070390824079,-0.0528036263652095,0.1271771946024706,-0.0015490187233559,-0.1967149163958709,0.0261845009132686,0.1178900949049851,-0.0689577892969966,-0.0529431056468548,0.0353666334072434,-0.0699985176219742,-0.0324677398785804,-0.2117877306948682,-0.0361762666265012,0.01221169204614,0.0042914378133058,0.0038194205231599,0.0158315828958221,-0.0008668747497568,0.2601549509623243,-0.1255713816434169,-0.4276792464212629,0.0828753186409194,-0.1277258694495216,-0.1163886087670595,-0.0214773791273888,-0.0216286810368252,-0.0094727707467571,-0.039880754195992,-0.017045838736849,0.6709449881491509,-0.1032206403087029,-0.0292162150471423,0.0181805952736521,-0.0579043238903174
5,5,-0.08,-0.0213398435603648,-0.1497323532118174,-0.0616163968074383,-0.2503010454405416,0.0921421744141562,0.3349888819694794,0.0957571261224358,-0.0323275554939465,-0.0791306832333344,-0.0176988406313473,-0.0410472465811816,0.1140493507150847,0.0233770828535611,-0.2486040994045666,0.0239096577806018,0.1043400317656095,-0.0659899442192722,-0.0399491464075611,0.0338222087404969,-0.0615462069026539,-0.0392590166108328,-0.2028605585035366,-0.038731518701403,0.0187936450857131,0.0456436383837418,0.0279386072556996,0.0071941469095433,0.0050837896307623,0.355524072402924,-0.0843021929600396,-0.1500082354312269,0.111082343010566,0.0527780289161135,-0.0845924898573908,0.0002088191573769,-0.0125428943556397,0.0106709052391032,-0.0174869885626231,-0.0243470051371315,0.6167661484334823,-0.1032943902379507,-0.0438715850627623,0.0203321226581187,-0.0592856843167537
6,6,-0.076,0.0058027513005513,-0.1474220329159429,-0.0538107569841576,-0.258230629285929,0.0796425278101452,0.3084105294770642,0.1221432114353623,-0.0139745522267278,-0.065248317924438,-0.007529170251696,-0.02712900409554,0.098513982534617,0.0454948168201503,-0.2983109352289597,0.0230591593824187,0.0874387454938955,-0.0626429817832621,-0.0269152299449867,0.027844572520785,-0.0499284148723965,-0.0454630528540609,-0.1848447431437832,-0.0404197959316706,0.0217563365892644,0.0849857825809128,0.0533593226468145,0.0023403376679487,0.0082396033887236,0.4294726572078943,-0.0481499499698182,0.1449379994897357,0.1268716279371723,0.2333591617623902,-0.0486062997541496,0.0191202092052778,-0.0047934970965533,0.0266939712499598,0.0077861079313407,-0.0288727120149753,0.5644228164661785,-0.0976068467616837,-0.0571831422018506,0.022589005194035,-0.0647002369454838
7,7,-0.072,0.0343960749951639,-0.1400478904735514,-0.0460612440408009,-0.2578133136031676,0.0657691986379122,0.279201105410699,0.1362703388878594,0.0063082965209986,-0.0524606359637498,0.0005453150381873,-0.0121440481405663,0.0806590834617344,0.0632341275077488,-0.3430906018901697,0.0238389455199942,0.0679930090332143,-0.058930050743676,-0.0153482319407028,0.0178718126001297,-0.035537652928508,-0.0506270980753683,-0.1587946237283568,-0.0410246503232842,0.0210444536348603,0.1190140163097507,0.0783133848031771,0.0008658705671655,0.0081821441393949,0.4754538520800478,-0.0183542890773185,0.4358360715676853,0.1292628376622051,0.4010982315699693,-0.0107227835148766,0.0347955143194545,0.0010236308009101,0.0382239546557081,0.0336061023754733,-0.0307261533747055,0.5113809965526968,-0.0862184486827897,-0.0709011369058802,0.0244899951834408,-0.0730534213008368
8,8,-0.068,0.0623194259443569,-0.1279803395423836,-0.0381332546242174,-0.2471660159448019,0.0507449176032104,0.2465265254409024,0.1373078157104155,0.0266323787919718,-0.0416608170809447,0.0057222386608634,0.0027279119874046,0.0605734214586736,0.0752883428383902,-0.3800945386513507,0.0261646906876222,0.0468024207936537,-0.0548554494484011,-0.0065413198280349,0.0047017234391966,-0.0190486891095896,-0.0544307509312047,-0.1262705037299787,-0.0404048913421518,0.0168609384889934,0.1446795089813367,0.1009033155088466,0.0019702305771353,0.0048125822722227,0.4890638460950087,0.0044564294479542,0.7016623846652448,0.1183240176242145,0.5439550648218624,0.0265999699942815,0.046846513249591,0.004489724531261,0.0452648215752952,0.0575316000006227,-0.0304033249624422,0.4524811133105639,-0.0696306166634141,-0.0842551803175941,0.0255275745356082,-0.0829117137329704
9,9,-0.064,0.0873720391608656,-0.1120770271685578,-0.0298834739695782,-0.2257357362125664,0.0348021400723004,0.2090984386989698,0.125647833175435,0.0451679839603219,-0.0332218757042709,0.0073936950195028,0.0163217380723943,0.0384041798094975,0.0807945089303765,-0.4065528629229384,0.0295596570440987,0.024753028963576,-0.0503697560258419,-0.0013501160028598,-0.0105666505148766,-0.0013677197582389,-0.0565896645156496,-0.0891470711006518,-0.0384706842752044,0.0096746650856334,0.159567654058864,0.1192457320248229,0.0045652980433462,-0.0016477874531985,0.4683734643965209,0.0202893639476669,0.9232148054352662,0.0952270851242043,0.6516522036861097,0.0609905221212392,0.0550672453245149,0.0053858183452384,0.0480183863511895,0.0772948312978283,-0.0283380423962809,0.3845079856052432,-0.0487301287305727,-0.0946694857888073,0.0252170995349432,-0.0926063063854049
